SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Meteorológica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
22B/01C,MONTE DA CAPARICA,96,38.660921,-9.202774,106897,188713,96,TEJO,SETÚBAL,ALMADA,CAPARICA,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-05-1985,18-07-1994,01-04-2001,-,SIM,ATIVA,-,
23F/01UG,MONTEVIL,24,38.396,-8.621,157369.373,158866.622,24,SADO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,01-10-1944,-,25-01-2001,-,SIM,ATIVA,14,
08I/01UG,MOSTEIRO DE CABRIL,389,40.947,-8.1,202786.782,442037.304,389,DOURO,VISEU,CASTRO DAIRE,CABRIL,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-10-1943,-,29-10-2001,-,SIM,ATIVA,-,
10G/01UG,OLIVEIRA DO BAIRRO,65,40.52,-8.499,169024.802,394595.425,65,VOUGA/RIBEIRAS COSTEIRAS,AVEIRO,OLIVEIRA DO BAIRRO,OLIVEIRA DO BAIRRO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-09-1931,-,11-01-2005,-,SIM,ATIVA,15,
11J/02C,OLIVEIRA DO HOSPITAL,468,40.36,-7.866,222656.289,376798.475,468,MONDEGO,COIMBRA,OLIVEIRA DO HOSPITAL,OLIVEIRA DO HOSPITAL,Autoridade Nacional da Água,CCDR-CENTRO,CLIMATOLÓGICA,CLIMATOLÓGICA,01-09-1931,-,25-01-2002,-,SIM,ATIVA,11,
27H/01CG,PANÓIAS,164,37.757,-8.306,184805.254,87851.246,164,SADO,BEJA,OURIQUE,PANÓIAS,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,CLIMATOLÓGICA,05-10-1933,-,07-02-2001,-,SIM,ATIVA,15,
20I/01G,PAVIA,189,38.896476,-8.013639,210363,214322,189,TEJO,ÉVORA,MORA,PAVIA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOGRÁFICA,01-01-1911,-,09-01-2001,-,SIM,ATIVA,15,
11O/01G,PEGA,770,40.432,-7.143,284023,385325,770,DOURO,GUARDA,GUARDA,PEGA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,09-06-1960,-,13-09-2001,-,SIM,ATIVA,15,
06H/01UG,PENAFIEL,175,41.212,-8.298,186148,471437,175,DOURO,PORTO,PENAFIEL,SANTIAGO DE SUBARRIFANA,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,01-02-1913,-,29-05-2003,-,SIM,ATIVA,15,
11L/10G,PENHAS DOURADAS,1480,40.405461,-7.566158,248128,382010,1480,TEJO,GUARDA,MANTEIGAS,MANTEIGAS (SÃO PEDRO),Autoridade Nacional da Água,-,UDOGRÁFICA,-,-,-,08-11-2005,-,SIM,ATIVA,-,
04R/02G,PINELO,607,41.635,-6.552,331750.523,519570.162,607,DOURO,BRAGANÇA,VIMIOSO,PINELO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,24-09-1959,-,27-02-2003,-,SIM,ATIVA,14,
09O/01G,PINHEL,606,40.771,-7.061,290506.049,423001.736,606,DOURO,GUARDA,PINHEL,PINHEL,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,01-10-1931,-,30-10-2001,-,SIM,ATIVA,15,
14F/01UG,POMBAL,95,39.903,-8.625,157934.842,326140.778,95,MONDEGO,LEIRIA,POMBAL,POMBAL,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-04-1942,-,16-06-2003,-,SIM,ATIVA,15,
