PKNAME,HEIGHTM,HIMAL,REGION,LON,LAT
Punchen Himal,6049,Mansiri,Gorkha\NC,85.14833069,28.66083336
Purbung Himal,6500,Damodar,Mustang\Manang,84.02055359,28.80138969
Purkhung,6126,Damodar,Mustang\Manang,83.99277496,28.81472206
Putha Hiunchuli,7246,Dhaulagiri,Rukum\Dolpa\ Myagdi,83.14805603,28.74777794
Pyramid Peak,7140,Kanchenjunga,Taplejung\NI,88.17583466,27.82055473
Raksha Urai,6609,Urai Lekh,Bajhang,81.12889099,30.00583267
Ramdong Go,5900,Rolwaling,"Dolakha\Ramechhap",86.43360901,27.81861115
Ramdung,5900,NA,NA,-9999,-9999
Ramtang,6601,Kanchenjunga,Taplejung,88.09583282,27.75083351
Ramtang Chang,6802,Kanchenjunga,Taplejung,88.08611298,27.76527786
Rani Peak,6693,NA,NA,84.6875,28.46666667
Rathong,6682,Kanchanjunga,Taplejung\NI,88.09111023,27.59361076
Ratna Chuli,7035,Peri,Manang\NC,84.37722015,28.86444473
Raungsiyar,6224,Rolwaling,Dolakha/ Solukhumbu,86.55944824,27.90777779
Rhimbu,6210,Puchen,Gorkha,85.04750061,28.55944443
Ripimo Shar,6646,Rolwaling,Dolakha/ Solukhumbu/NC,86.51805878,27.87305641
Roc Noir,7485,Annapurna,"Kaski\Myagdi\Manang",83.87361145,28.61333275
Rokapi,6468,Saipal,"Darchula\Bhajang",81.04027557,29.84777832
Rolmi,6056,Puchen,Gorkha,85.05027771,28.56777763
Rolwaling Kang,6664,Rolwaling,Dolakha,86.52305603,27.89749908
Roma,5407,NA,NA,-9999,-9999
Saipal,7030,Gurans/Saipal,Humla\Bajhang,81.49472046,29.88777733
Saipal East Humla,6907,Saipal,Humla\Bajhang,81.50055695,29.89111137
Saldim,6374,"Mahalangur/Makalu","Sankhuwasabha\NC",87.17305756,27.82138824
Saldim West,6388,Mahalangur,"Sankhuwasabha/NC",87.15916443,27.82416725
Samdo,6335,Mansiri,Gorkha\NC,84.69721985,28.63611031
Sanctuary Peak,6207,Kanjiroba,Mugu/Dolpa,82.6258316,29.42388916
Sano Bhrikuti,6328,NA,NA,-9999,-9999
Sano Kailash,6409,NA,NA,84.134444,28.923611
Saribung,6328,Damodar,Mustang\Manang,84.17388916,28.88444519
Sat Peak,6164,Kanchenjunga,Taplejung,87.91416931,27.71111107
Saula,6235,Kutang,Gorkha/NC,84.75611115,28.61388969
Serku Dolma,6227,NA,NA,-9999,-9999
Shalbachum,6707,Langtang,Rasuwa\NC,85.63444519,28.27166748
Sharphu I,6463,Kanchenjunga,Taplejung,87.91972351,27.75222206
Sharphu II,6164,Kanchenjunga,Taplejung,87.92166901,27.75777817
Sharphu III,6220,Kanchenjunga,Taplejung,87.90721893,27.73055649
Sharphu IV,6172,Kanchenjunga,Taplejung,-9999,-9999
Sharphu V,6158,Kanchenjunga,Taplejung,87.91999817,27.7452774
Sharphu VI,6076,Kanchenjunga,Taplejung,87.92583466,27.77361107
Shartse,7591,Mahalangur,Solukhumbu\NC,86.96749878,27.9552784
Shartse II,7457,Khumbu,"Solukhumbu\Sankhuwasabha\NC",86.98527527,27.94916725
Shershon,6432,"Mahalangur/makalu","Sankhuwasabha\NC",87.12889099,27.83388901
Shershon Northwest,6682,Mahalangur,Sankhuwasabha/ NC,87.11083221,27.85527802
Shey Shikhar,6139,Kanjiroba,Dolpa,82.79722595,29.28694534
Simnang Himal,6251,Manaslu Himal,Gorkha,84.59722137,28.51638794
Singu Chuli,6501,Annapurna,Kaski,83.88500214,28.58722305
Sisne Himal,5911,Sisne Himal,Rukum,82.6186142,28.82777786
Sita Chuchura,6611,Dhaulagiri,Dolpa\Myagdi,83.48472595,28.78249931
Snow Peak,6530,NA,NA,-9999,-9999
Sobithongie,6652,Kanchenjunga,Taplejung,88.02805328,27.68555641
Sphinx,6825,Kanchenjunga,Taplejung/NI,88.1902771,27.82500076
Surma-Sarovar North,6397,Surma Saravar Lekh,Bajhang,81.08555603,29.83527756
Suyao Kang,5929,Kanchenjunga,Taplejung,87.89611053,27.88249969
Swaksa Kang,6405,Kanjiroba,Dolpa\NC,82.85832977,29.68638802
Swelokhan,6180,Mansiri,Gorkha\NC,84.64638519,28.72500038
Syaokang,5960,NA,NA,87.89611111,27.8825
Takargo,6771,Mahalangur,Dolakha,86.51166534,27.87472153
Takargo East,6152,Rolwaling,Dolakha,86.52333069,27.87194443
Takla Kang,6276,Kanti,Mugu/NC,82.69527435,29.76111031
Takphu Himal,6395,Nalakankar,Humla\NC,81.41777802,30.28388977
Takphu North,6142,Nalakankar,Humla/NC,81.42222595,30.30361176
Talung,7349,Kanchenjunga,Taplejung\NI,88.13361359,27.65472221
Tankya I,6305,Palchung,Dolpa/NC,82.91694641,29.70611191
Taple Shikhar,6447,Kanchenjunga,Taplejung,88.14778137,27.76111031
Tarke Kang Shar,7069,Annapurna,Kaski\Manang,83.91611481,28.60499954
Tashi Kang,6386,Mukut Himal,Mustang,83.6313858,28.85305595
Tawa,6110,NA,NA,-9999,-9999
Tawoche,6495,Khumbu,Solukhumbu,86.78166962,27.89722252
Tengi Ragi Tau,6938,Mahalangur,"Dolakha\Solukhumbu",86.55638885,27.8572216
Tengi Ragi Tau East,6652,NA,NA,86.566703,27.855063
Tengkangpoche,6482,Mahalangur,Solukhumbu,86.59860992,27.80388832
Tengkoma,6215,Kanchenjunga,Taplejung,88.07666779,27.80833244
Thamserku,6618,Khumbu,Solukhumbu,86.78778076,27.78972244
Tharke Kang,6710,Mahalangur,Solukhumbu/NC,86.75166321,28.04388809
Tharpu Chuli,5695,Annapurna,Kaski,83.93055725,28.58472252
Thoche Go,6602,Peri,Manang/NC,84.45972443,28.75777817
Thorong Peak,6144,Annapurna,Manang/Mustang,83.93000031,28.78249931
Thulagi,7059,Mansiri,Manang,84.52278137,28.52777863
Til Kang,6369,Nalakankar,Humla\NC,81.41444397,30.27000046
Tilicho,7134,Annapurna,Myagdi\Manang,83.81388855,28.68250084
Tilje,5696,Peri,Manang,84.39527893,28.71027756
Tobsar,6065,Siringi Himal,Gorkha,85.05944824,28.58055496
Tongu,6187,NA,NA,-9999,-9999
Triangle Peak,6484,NA,NA,-9999,-9999
Tripura Hiunchuli,6553,Kanjiroba,Dolpa,82.73750305,29.32638931
Tsartse,6343,Mukut Himal,Mustang,83.64861298,28.86138916
Tsaurabong Peak,6395,NA,NA,83.373611,28.706944
Tsisima,6196,Kanchenjunga,Taplejung,88.04055786,27.86305618
Tso Karpo,6518,Kanjiroba,Dolpa,82.76667023,29.36666679
Tso Karpo Kang,6556,Kanjibora,Dolpa,82.78083038,29.36805534
Tukuche,6920,Dhaulagiri,Myagdi\Mustang,83.56083679,28.74611092
Tutse,6758,"Mahalangur/Makalu",Sankhuwasabha,87.10138702,27.77194405
Urkema,5890,Langtang,Rasuwa/ Sindhupalchok,85.51249695,28.15277863
Urkinmang,6143,Jugal,"Rasuwa\Sindhupalchowk",85.71499634,28.16916656
Yakawa Kang,6482,Damodar,"Mustang\Manang",83.94444275,28.80861092
Yala,5732,Langtang,Rasuwa,85.6258316,28.23999977
Yala Chuli,6236,Palchung,Mugu/Dolpa/NC,82.82888794,29.68944359
Yalung Kang,8505,Kachenjunga,Taplejung,88.13861084,27.70499992
Yalung Kang West,8077,Kanchenjunga,Taplejung,88.12555695,27.70611191
Yalung Ri,5647,Rolwaling,Dolakha,86.41444397,27.85305595
Yangra Kangri South,6863,Ganesh,"Gorkha/Dhading/NC",85.11000061,28.34638977
Yangri,6635,Jugal,Sindhupalchok/ NC,85.87388611,28.1427784
Yanme Kang,6206,Kanchanjunga,Taplejung\NC,87.84972382,27.94611168
Yansa Tsenji,6567,Langtang,Rasuwa\NC,85.60832977,28.25638962
Yarwa,6644,Guras,Darchula/ Bajhang/NC,81.09249878,30.05416679
Yaupa,6422,"Mahalangur/Makalu","Sankhuwasabha\NC",87.14305878,27.83694458
Yokopahar,6423,Gurans,"Darchula/Bajhang",81.04000092,30.01499939
Yubra,6264,NA,NA,-9999,-9999
