PKNAME,HEIGHTM,HIMAL,REGION,LON,LAT
Chhuboche,5606,Annapurna,Manang,84.21833038,28.75166702
Chhukung Ri,5559,NA,NA,86.87877,27.92583
Chhukung Tse,5833,Khumbu,Solukhumbu,86.87722015,27.93888855
Cho Oyu,8188,Khumbu,Solukhumbu\NC,86.66333008,28.09361076
Cho Polu,6700,Mahalangur,Solukhumbu\ Sankhuwasabha,86.98361206,27.91944504
Chobuje,6686,Rolwaling,Dolakha,86.4916687,27.88222313
Cholatse,6423,Khumbu,Solukhumbu,86.76889038,27.92027855
Chukyima Go,6258,Rolwaling,"Dolakha/Ramechhap",86.45249939,27.83222198
Chulu Central,6584,Damodar,Manang,84.03666687,28.73583412
Chulu West,6419,Damodar,Manang,84.02500153,28.74333382
Chumbu,6859,Mahalangur,Solukhumbu,86.79250336,28.01888847
Churen Himal Central,7385,Dhaulagiri,Myagdi\Dolpa,83.21666667,28.735
Churen Himal East,7371,Dhaulagiri,Myagdi\Dolpa,83.21221924,28.7322216
Churen Himal West,7371,Dhaulagiri,Myagdi\Dolpa,83.20995,28.73198
Danga,6220,Kanchanjunga,Taplejung,87.97861481,27.81694412
Danphe Shail,6103,Kanjirowa,Dolpa/NC,83.01027679,29.67250061
"Dazaney I (Dzanaye Peak)",6581,Kanchanjunga,Taplejung\NC,88.03083038,27.90555573
Dhampus,6012,Dhaulagiri,Mustang,83.61194611,28.79805565
Dhaulagari,6638,Saipal,Bhajang,81.1213913,29.95000076
Dhaulagiri I,8167,Dhaulagiri,Myagdi,83.49500275,28.69666672
Dhaulagiri II,7751,Dhaulagiri,Dolpa\Myagdi,83.39055634,28.7630558
Dhaulagiri III,7715,Dhaulagiri,Dolpa\Myagdi,83.37944794,28.75388908
Dhaulagiri IV,7661,Dhaulagiri,Dolpa\Myagdi,83.31694794,28.73583412
Dhaulagiri V,7618,Dhaulagiri,Dolpa\Myagdi,83.3638916,28.73388863
Dhaulagiri VI,7268,Dhaulagiri,Myagdi,83.27583313,28.70833397
